293.15	9.824311733245840E-01	1.756882667541600E-02
293.15	9.823496937751770E-01	1.765030622482300E-02
293.15	9.822682142257690E-01	1.773178577423100E-02
293.15	9.821867346763610E-01	1.781326532363900E-02
293.15	9.821052551269530E-01	1.789474487304700E-02
293.15	9.820237755775450E-01	1.797622442245490E-02
293.15	9.819422960281370E-01	1.805770397186300E-02
293.15	9.818608164787290E-01	1.813918352127100E-02
293.15	9.817793369293210E-01	1.822066307067900E-02
293.15	9.816978573799130E-01	1.830214262008700E-02
293.15	9.816163778305050E-01	1.838362216949500E-02
293.15	9.815348982810970E-01	1.846510171890300E-02
293.15	9.814534783363340E-01	1.854652166366600E-02
293.15	9.813719987869260E-01	1.862800121307400E-02
293.15	9.812905192375180E-01	1.870948076248200E-02
293.15	9.812090396881100E-01	1.879096031189000E-02
293.15	9.811275601387020E-01	1.887243986129810E-02
293.15	9.810460805892940E-01	1.895391941070600E-02
293.15	9.809646010398860E-01	1.903539896011400E-02
293.15	9.808831214904780E-01	1.911687850952200E-02
293.15	9.808016419410700E-01	1.919835805893000E-02
293.15	9.807201623916620E-01	1.927983760833800E-02
293.15	9.806386828422540E-01	1.936131715774600E-02
293.15	9.805572032928460E-01	1.944279670715400E-02
293.15	9.804757237434380E-01	1.952427625656190E-02
293.15	9.803942441940300E-01	1.960575580597000E-02
293.15	9.803127646446220E-01	1.968723535537800E-02
293.15	9.802312850952140E-01	1.976871490478600E-02
293.15	9.801498055458060E-01	1.985019445419400E-02
293.15	9.800683259963980E-01	1.993167400360200E-02
293.15	9.799868464469900E-01	2.001315355301000E-02
293.15	9.799053668975830E-01	2.009463310241700E-02
293.15	9.798238873481750E-01	2.017611265182500E-02
293.15	9.797424077987670E-01	2.025759220123300E-02
293.15	9.796609282493590E-01	2.033907175064100E-02
293.15	9.795795083045950E-01	2.042049169540510E-02
293.15	9.794980287551870E-01	2.050197124481300E-02
293.15	9.794165492057800E-01	2.058345079422000E-02
293.15	9.793350696563720E-01	2.066493034362800E-02
293.15	9.792535901069640E-01	2.074640989303600E-02
293.15	9.791721105575560E-01	2.082788944244400E-02
293.15	9.790906310081480E-01	2.090936899185200E-02
293.15	9.790091514587400E-01	2.099084854126000E-02
293.15	9.789276719093320E-01	2.107232809066790E-02
293.15	9.788461923599240E-01	2.115380764007600E-02
