YCH4,DavidsonSU2,DavidsonStandalone,WilkeSU2,WilkeStandalone
0.967951059,1.11E-05,1.11E-05,1.11E-05,0.000011136
0.967685282,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.967419446,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.967153609,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.966887772,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.966621995,1.11E-05,0.000011121,1.11E-05,1.11E-05
0.966356158,1.11E-05,0.000011122,1.11E-05,1.11E-05
0.966090322,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.965824485,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.965558648,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.965292871,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.965027034,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.964761198,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.964495361,1.11E-05,1.11E-05,1.12E-05,0.000011152
0.964229584,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.963963747,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.96369791,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.963432074,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.963166296,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.962688446,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.962184072,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.961679757,1.11E-05,1.11E-05,1.12E-05,0.000011165
0.961175382,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.960671067,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.960166693,1.11E-05,1.11E-05,1.12E-05,0.000011172
0.959662378,1.11E-05,1.11E-05,1.12E-05,1.12E-05
0.959158063,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.958653688,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.958149374,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.957644999,1.12E-05,0.000011157,1.12E-05,1.12E-05
0.957140684,1.12E-05,0.000011159,1.12E-05,1.12E-05
0.95663631,1.12E-05,0.000011161,1.12E-05,1.12E-05
0.956131995,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.95562762,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.955123305,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.954618931,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.954114616,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.953610241,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.953105927,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.952601612,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.952097237,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.951592922,1.12E-05,1.12E-05,1.12E-05,0.000011212
0.951088548,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.950584233,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.950079858,1.12E-05,1.12E-05,1.12E-05,0.000011219
0.949575543,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.949071169,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.948566854,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.948062479,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.947558165,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.94705385,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.946549475,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.94604516,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.945540786,1.12E-05,0.000011206,1.12E-05,1.12E-05
0.945036471,1.12E-05,0.000011208,1.12E-05,1.12E-05
0.944532096,1.12E-05,1.12E-05,1.12E-05,0.000011245
0.944027781,1.12E-05,1.12E-05,1.12E-05,1.12E-05
0.943523407,1.12E-05,1.12E-05,1.13E-05,1.12E-05
0.943019092,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.942514718,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.942010403,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.941506088,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.941001713,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.940497398,1.12E-05,1.12E-05,1.13E-05,0.000011264
0.939993024,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.939488709,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.938984334,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.93848002,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.937975645,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.93747133,1.12E-05,0.000011239,1.13E-05,1.13E-05
0.936966956,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.936462641,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.935958326,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.935453951,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.934845865,1.12E-05,1.12E-05,1.13E-05,1.13E-05
0.934030235,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.933214664,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.932399035,1.13E-05,1.13E-05,1.13E-05,1.13E-05
